8954,01-01-1991 00:00,1,33.96,41.0913,84.9,140,8.31,448.1149247,256.114,0
5222,01-01-1992 00:00,1,13,39.0015,32.5,145.92,7.27,373.760162,195.006,0
5988,01-01-1992 00:00,1,15.98,21.8822,39.95,27,8.1,183,131.126,0
6307,01-01-1992 00:00,1,36.92,37.3977,92.3,82.5,8.4,839,248.124,0
7128,01-01-1992 00:00,1,97.8,1.7,244.5,8.61,7.97,543.3448059,251.583,0
8191,01-01-1992 00:00,1,23.43024921,14.52600721,58.5733298,32.90565384,7.5,400,172.4112611,0
8680,01-01-1992 00:00,1,55.932,33.0893,139.83,460,8.33,299.8170966,277.702,0
5074,01-01-1993 00:00,1,10.6,6.561,26.5,7.68,7.46,56.32711183,53.8375,1
5884,01-01-1993 00:00,1,37,6.8,92.5,46,8,349.7762233,120.833,0
6315,01-01-1993 00:00,1,6.4,8.1405,16,5,7.84,-32.76056093,49.9188,0
7116,01-01-1993 00:00,1,15.72,21.2139,39.3,60,8.41,398,127.691,1
8178,01-01-1993 00:00,1,23.43024921,14.52600721,58.5733298,32.90565384,8.6,64,56.10234122,0
8948,01-01-1993 00:00,1,32.024,49.5574,80.06,324.96,8.42,483.9779361,286.549,0
4873,01-01-1994 00:00,1,39.4,16.28,98.5,26.4,6.4,454.4188373,166.333,0
6126,01-01-1994 00:00,1,26.4,14.6,66,29,8.5,256,126.833,0
6325,01-01-1994 00:00,1,3.2,0.953775,8,23.04,7.81,2.832429582,11.9741,1
7105,01-01-1994 00:00,1,35.956,31.6167,89.89,90,8.73,506.9634002,221.626,0
8168,01-01-1994 00:00,1,28.96,10.1088,72.4,63,7.84,316,114.52,0
5068,01-01-1995 00:00,1,14.2,6.6825,35.5,2.016,8.11,269.8586977,63.3438,0
6138,01-01-1995 00:00,1,23.43024921,14.52600721,58.5733298,32.90565384,7.6,338,164.0876698,0
6332,01-01-1995 00:00,1,5.8,3.402,14.5,1.92,7.6,55.98424918,28.675,0
7091,01-01-1995 00:00,1,27.968,5.36544,69.92,40.8,8.09,232,92.276,0
8075,01-01-1995 00:00,1,23.43024921,14.52600721,58.5733298,32.90565384,7.2,280.8966648,117.8882508,0
8663,01-01-1995 00:00,1,25.02,45.0644,62.55,130.08,8.3,508.5736376,250.318,0
5084,01-01-1996 00:00,1,32.16,55.3068,80.4,60,8.03,575.506817,310.845,0
6151,01-01-1996 00:00,1,23.43024921,14.52600721,58.5733298,32.90565384,7,296.1351486,116.7053826,0
6337,01-01-1996 00:00,1,12,7.776,30,3.84,7.35652933,153.0675431,62.4,0
7079,01-01-1996 00:00,1,7,0,17.49880858,3.4,7.47,40,29.167,0
8063,01-01-1996 00:00,1,23.43024921,14.52600721,58.5733298,32.90565384,6.5,259.5475232,119.5439667,0
8651,01-01-1996 00:00,1,43.948,32.5936,109.87,105,8.36,490.8883482,245.677,0
4992,01-01-1997 00:00,1,11.984,14.5897,29.96,75,8.76,900,90.7505,0
6163,01-01-1997 00:00,1,9.988,31.1113,24.97,160,8.4,310.5617155,154.6,0
6343,01-01-1997 00:00,1,36,23.328,90,13.392,8.16,321.8109321,187.2,0
7405,01-01-1997 00:00,1,24.972,26.3825,62.43,90,8.12,555.7060095,172.357,0
8920,01-01-1997 00:00,1,22.972,27.3545,57.43,135,8.42,156.4938586,171.407,0
4887,01-01-1998 00:00,1,31.96,34.7733,79.9,130,8.42,494.1982801,224.789,0
6175,01-01-1998 00:00,1,42,13,105,8,8.21,178,159.167,0
6351,01-01-1998 00:00,1,22.4,10.692,56,21.168,7.6,120.1252242,100.55,1
7394,01-01-1998 00:00,1,28.024,31.0894,70.06,97.44,8.78,374.9679074,199.599,0
7988,01-01-1998 00:00,1,11.984,7.29972,29.96,102,7.8,796,60.3755,0
8648,01-01-1998 00:00,1,12.008,40.5761,30.02,16.8,8.32,311.6646765,199.087,0
4899,01-01-1999 00:00,1,15.6,7.6545,39,49.968,7.81,216.4066582,70.8938,1
6189,01-01-1999 00:00,1,29,30.375,72.5,9.12,7.12,488.534646,199.062,0
6359,01-01-1999 00:00,1,24.4,14.7015,61,32.064,7.46,348,122.256,1
7382,01-01-1999 00:00,1,29.964,33.5559,74.91,95,8.41,388.7055582,214.726,0
7977,01-01-1999 00:00,1,30.964,14.9664,77.41,34.34945202,8.4,310,139.77,0
8637,01-01-1999 00:00,1,60.848,13.5788,152.12,152.64,8.1,332.3053503,208.699,1
